lat,lon,amenity,name,coordinates,city,cluster,is_chain
49.260812,-123.125736,cafe,starbucks,"49.260812,-123.125736",Vancouver,0,True
49.212659,-122.9193469,cafe,starbucks,"49.212659,-122.9193469",New Westminster,6,True
49.278119,-122.9122848,cafe,starbucks,"49.278119,-122.9122848",Burnaby,1,True
49.2769081,-122.8589634,cafe,starbucks,"49.2769081,-122.8589634",Port Moody,17,True
49.0408954,-122.2698339,cafe,starbucks,"49.0408954,-122.2698339",Abbotsford,7,True
49.2873431,-123.1143935,cafe,starbucks,"49.2873431,-123.1143935",Vancouver,0,True
49.2686141,-123.158778,cafe,starbucks,"49.2686141,-123.158778",Vancouver,35,True
49.2876133,-123.1149238,cafe,starbucks,"49.2876133,-123.1149238",Vancouver,0,True
49.212995,-123.1401,cafe,starbucks,"49.212995,-123.1401",Vancouver,34,True
49.3721579,-123.0988075,cafe,starbucks,"49.3721579,-123.0988075",District of North Vancouver,29,True
49.1048167,-122.8022148,cafe,starbucks,"49.1048167,-122.8022148",Surrey,22,True
49.2796195,-123.0999337,cafe,starbucks,"49.2796195,-123.0999337",Vancouver,0,True
49.2543347,-122.737988,cafe,starbucks,"49.2543347,-122.737988",Port Coquitlam,14,True
49.2632049,-123.1070497,cafe,starbucks,"49.2632049,-123.1070497",Vancouver,0,True
49.2673455,-123.112992,cafe,starbucks,"49.2673455,-123.112992",Vancouver,0,True
49.235221,-123.1157169,cafe,starbucks,"49.235221,-123.1157169",Vancouver,34,True
49.2186088,-122.9564849,cafe,starbucks,"49.2186088,-122.9564849",Burnaby,36,True
49.2256778,-122.9973902,cafe,starbucks,"49.2256778,-122.9973902",Burnaby,36,True
49.2278206,-122.840058,cafe,starbucks,"49.2278206,-122.840058",Coquitlam,8,True
49.2504908,-122.8944559,cafe,starbucks,"49.2504908,-122.8944559",Burnaby,1,True
49.1128069,-122.6724406,cafe,starbucks,"49.1128069,-122.6724406",Langley City,10,True
49.0448257,-122.778652,cafe,starbucks,"49.0448257,-122.778652",Surrey,22,True
49.1325243,-123.0924899,cafe,starbucks,"49.1325243,-123.0924899",Richmond,3,True
49.0904049,-123.0780785,cafe,starbucks,"49.0904049,-123.0780785",Delta,23,True
49.1722688,-123.1361069,cafe,starbucks,"49.1722688,-123.1361069",Richmond,3,True
49.2729377,-123.0997917,cafe,starbucks,"49.2729377,-123.0997917",Vancouver,0,True
49.26437,-123.1674354,cafe,starbucks,"49.26437,-123.1674354",Vancouver,35,True
49.324043,-123.1099144,cafe,starbucks,"49.324043,-123.1099144",District of North Vancouver,29,True
49.1864343,-122.8488672,cafe,starbucks,"49.1864343,-122.8488672",Surrey,31,True
49.1896522,-122.8033776,cafe,starbucks,"49.1896522,-122.8033776",Surrey,31,True
49.1776145,-123.1211398,cafe,starbucks,"49.1776145,-123.1211398",Richmond,3,True
49.2173905,-122.5917912,cafe,starbucks,"49.2173905,-122.5917912",Maple Ridge,13,True
