lat,lon,amenity,name,coordinates,city,cluster,is_chain
49.1266497,-123.1824699,restaurant,bestbiteindiancuisine,"49.1266497,-123.1824699",Richmond,3,False
49.2831924,-123.1090499,pub,thecambie,"49.2831924,-123.1090499",Vancouver,0,False
49.1712762,-123.1348734,restaurant,orientalricenoodle,"49.1712762,-123.1348734",Richmond,3,False
49.2684891,-123.258088,pub,koernerspub,"49.2684891,-123.258088",Electoral Area A,15,False
49.1556713,-123.1248972,bar,legendspub,"49.1556713,-123.1248972",Richmond,3,False
49.268662,-123.1045109,bar,facultybrewing,"49.268662,-123.1045109",Vancouver,0,False
49.2685718,-123.1045263,cafe,argocafe,"49.2685718,-123.1045263",Vancouver,0,False
49.2672519,-123.1033949,pub,randbaleandpizzahouse,"49.2672519,-123.1033949",Vancouver,0,False
49.2812866,-123.0550913,restaurant,whatsup?hotdog!,"49.2812866,-123.0550913",Vancouver,37,False
49.2832655,-123.0978958,restaurant,stlawrencerestaurant,"49.2832655,-123.0978958",Vancouver,0,False
49.2832876,-123.0980745,restaurant,cuhillo,"49.2832876,-123.0980745",Vancouver,0,False
49.2831728,-123.0935162,cafe,theuncommoncafe,"49.2831728,-123.0935162",Vancouver,0,False
49.2796054,-123.1002799,restaurant,juniper,"49.2796054,-123.1002799",Vancouver,0,False
49.2796207,-123.1011093,restaurant,goldstonebakeryandrestaurant,"49.2796207,-123.1011093",Vancouver,0,False
49.2821955,-123.1024011,bar,backandforthbar,"49.2821955,-123.1024011",Vancouver,0,False
49.2831638,-123.1035309,restaurant,thesardinecan,"49.2831638,-123.1035309",Vancouver,0,False
49.284169,-123.1073434,bar,131waterkitchenandbar,"49.284169,-123.1073434",Vancouver,0,False
49.2834234,-123.1064112,restaurant,julesbistro,"49.2834234,-123.1064112",Vancouver,0,False
49.2427766,-123.0040514,restaurant,crystalpalace,"49.2427766,-123.0040514",Burnaby,36,False
49.2873953,-123.1288386,restaurant,joongwon,"49.2873953,-123.1288386",Vancouver,0,False
49.287665,-123.1292506,restaurant,stephos,"49.287665,-123.1292506",Vancouver,0,False
49.2867409,-123.1284213,fast_food,atasteofindia,"49.2867409,-123.1284213",Vancouver,0,False
49.2873728,-123.1282271,restaurant,misskoreanbbq,"49.2873728,-123.1282271",Vancouver,0,False
49.2871553,-123.1290789,restaurant,forage,"49.2871553,-123.1290789",Vancouver,0,False
49.2870445,-123.128902,restaurant,timber,"49.2870445,-123.128902",Vancouver,0,False
49.2874858,-123.1289807,restaurant,mikosushi,"49.2874858,-123.1289807",Vancouver,0,False
49.2864194,-123.1272344,cafe,abode,"49.2864194,-123.1272344",Vancouver,0,False
49.2866559,-123.1274985,pub,shenanigans,"49.2866559,-123.1274985",Vancouver,0,False
49.2623529,-123.0894813,restaurant,hailmarys,"49.2623529,-123.0894813",Vancouver,37,False
49.2660115,-123.2423353,cafe,onlyucafe,"49.2660115,-123.2423353",Electoral Area A,15,False
49.2687109,-123.1186399,pub,thewicklowpub,"49.2687109,-123.1186399",Vancouver,0,False
49.2821452,-123.0762115,bar,callistertastingroom,"49.2821452,-123.0762115",Vancouver,37,False
49.2833626,-123.0757512,bar,powellbrewerytastingroom,"49.2833626,-123.0757512",Vancouver,37,False
49.2724958,-123.0777288,bar,strangefellowstastingroom,"49.2724958,-123.0777288",Vancouver,37,False
49.2814778,-123.1336029,cafe,exile,"49.2814778,-123.1336029",Vancouver,0,False
49.2764267,-122.849875,restaurant,spaccanapoli,"49.2764267,-122.849875",Port Moody,17,False
49.2842686,-123.1197597,fast_food,smokehousesandwichco,"49.2842686,-123.1197597",Vancouver,0,False
49.2641324,-123.1816701,cafe,essentiacafe,"49.2641324,-123.1816701",Vancouver,35,False
49.2863279,-123.1256179,restaurant,kirinmandarinrestaurant,"49.2863279,-123.1256179",Vancouver,0,False
49.285993500000004,-123.1250868,restaurant,pinkelephantthai,"49.285993500000004,-123.1250868",Vancouver,0,False
49.28525,-123.1254062,restaurant,fantacitykaraoke,"49.28525,-123.1254062",Vancouver,0,False
49.2842068,-123.1002041,pub,alibiroom,"49.2842068,-123.1002041",Vancouver,0,False
49.3810218,-123.0791455,fast_food,beavertails,"49.3810218,-123.0791455",District of North Vancouver,29,False
49.1795513,-123.1375541,restaurant,fukurokusushiexpress,"49.1795513,-123.1375541",Richmond,3,False
49.0523043,-122.3227371,fast_food,lullyssandwichbar,"49.0523043,-122.3227371",Abbotsford,38,False
49.2643899,-123.0695091,restaurant,cabritotapasbebidas,"49.2643899,-123.0695091",Vancouver,37,False
49.2848652,-123.125665,restaurant,spicy6,"49.2848652,-123.125665",Vancouver,0,False
49.1842852,-123.0911234,restaurant,daddysdelightkabobs,"49.1842852,-123.0911234",Richmond,3,False
49.1681085,-122.6675276,restaurant,wakasushi,"49.1681085,-122.6675276",Township of Langley,21,False
49.2500121,-123.1008107,restaurant,frenchtablebistro,"49.2500121,-123.1008107",Vancouver,34,False
49.2802067,-123.099978,restaurant,goldengardenvietnamesecuisine,"49.2802067,-123.099978",Vancouver,0,False
49.2498744,-123.1007808,restaurant,oldbird,"49.2498744,-123.1007808",Vancouver,34,False
49.1697933,-123.1378771,restaurant,kirinseafoodrestaurant,"49.1697933,-123.1378771",Richmond,3,False
49.0763979,-122.3935046,restaurant,bramblesbistro,"49.0763979,-122.3935046",Abbotsford,38,False
49.1874849,-123.1312122,restaurant,kyabia,"49.1874849,-123.1312122",Richmond,3,False
49.2766268,-123.1001058,restaurant,pizzafarina,"49.2766268,-123.1001058",Vancouver,0,False
49.2037589,-122.9046452,fast_food,eatsatthepier,"49.2037589,-122.9046452",New Westminster,6,False
49.0497717,-122.3189143,cafe,stickybunsandmore,"49.0497717,-122.3189143",Abbotsford,38,False
49.2743218,-123.1269429,restaurant,kaidesushibar,"49.2743218,-123.1269429",Vancouver,0,False
49.1794492,-123.1341606,restaurant,felicosrestaurant,"49.1794492,-123.1341606",Richmond,3,False
49.1250427,-123.1853319,restaurant,kisamosgreektaverna,"49.1250427,-123.1853319",Richmond,3,False
49.1630451,-123.1363249,restaurant,pholanbeefnoodlesoup,"49.1630451,-123.1363249",Richmond,3,False
49.2812722,-123.0472413,restaurant,lepetitsaigon,"49.2812722,-123.0472413",Vancouver,37,False
49.1622956,-122.6548929,bar,walnutgrovepubandliqourstore,"49.1622956,-122.6548929",Township of Langley,21,False
49.1761814,-123.1306688,restaurant,bullkingbbq,"49.1761814,-123.1306688",Richmond,3,False
49.1761102,-123.1309092,restaurant,gingerichinesecuisine,"49.1761102,-123.1309092",Richmond,3,False
49.175972,-123.1306582,restaurant,happylambhotpot,"49.175972,-123.1306582",Richmond,3,False
49.1764107,-123.1323338,restaurant,tokujapaneserestaurant,"49.1764107,-123.1323338",Richmond,3,False
49.2457299,-122.891401,restaurant,insadong,"49.2457299,-122.891401",Coquitlam,8,False
49.2462257,-122.8918439,restaurant,bestsushinkitchen,"49.2462257,-122.8918439",Coquitlam,8,False
